Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCX02,9.249,Low fat,0.14756802,Snack Foods,146.349,OUT035,2004,Small,Tier 2,Supermarket Type1,1661.0703
FDQ02,7.964,low fat,0.278898453,Soft Drinks,213.483,OUT049,1999,Medium,Tier 1,Supermarket Type1,4374.0538
FDW16,8.63,Regular,0.239964369,Fruits and Vegetables,131.5846,OUT045,2002,,Tier 2,Supermarket Type1,952.4033
FDH03,12.844,Low fat,0.246422866,Fruits and Vegetables,77.7898,OUT049,1999,Medium,Tier 1,Supermarket Type1,800.3334
DRB18,17.615,LF,0.017866209,Seafood,210.5154,OUT013,1987,High,Tier 3,Supermarket Type1,1270.3716
FDZ45,8.345,regular,0.096073915,Hard Drinks,150.3684,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.824
FDH43,6.721,reg,0.080327772,Household,219.4199,OUT049,1999,Medium,Tier 1,Supermarket Type1,1294.0949
NCD51,11.79,reg,0.317784715,Seafood,158.3863,OUT018,2009,Medium,Tier 3,Supermarket Type2,2673.1574
NCE50,4.915,Low fat,0.218232265,Canned,95.2364,OUT049,1999,Medium,Tier 1,Supermarket Type1,683.9121
FDI24,7.725,Regular,0,Seafood,101.422,OUT019,1985,Small,Tier 1,Grocery Store,570.5866
DRB58,19.913,Regular,0,Snack Foods,225.0502,OUT045,2002,,Tier 2,Supermarket Type1,3020.0526
FDC25,17.546,Low Fat,0,Breakfast,60.5695,OUT049,1999,Medium,Tier 1,Supermarket Type1,1303.8708
FDZ51,4.694,Low Fat,0,Household,106.6294,OUT010,1998,,Tier 3,Grocery Store,343.1027
FDK08,10.431,Low Fat,0.161044235,Frozen Foods,65.3888,OUT010,1998,,Tier 3,Grocery Store,224.8695
NCA21,5.602,Low Fat,0.149725519,Frozen Foods,130.9351,OUT049,1999,Medium,Tier 1,Supermarket Type1,1337.3317
DRB12,20.768,reg,0.301875738,Canned,197.9319,OUT013,1987,High,Tier 3,Supermarket Type1,2289.0901
NCH28,10.952,Regular,0.227358147,Frozen Foods,43.3514,OUT045,2002,,Tier 2,Supermarket Type1,261.2961
FDW54,17.979,Low fat,0.231181217,Fruits and Vegetables,31.8076,OUT013,1987,,Tier 3,Supermarket Type1,181.3361
DRE42,,reg,0.030502932,Hard Drinks,83.5054,OUT018,2009,Medium,Tier 3,Supermarket Type2,1797.0301
DRC53,9.13,reg,0.08023328,Health and Hygiene,122.544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1180.4099
DRI17,5.765,LF,0.159502587,Meat,259.8192,OUT027,1985,Medium,Tier 3,Supermarket Type3,2865.8253
FDG19,8.241,reg,0.02865799,Canned,155.9481,OUT018,2009,Medium,Tier 3,Supermarket Type2,1025.5166
NCM37,,Regular,0.080445501,Meat,202.9102,OUT010,1998,,Tier 3,Grocery Store,675.195
FDW22,,regular,0,Others,47.6543,OUT045,2002,,Tier 2,Supermarket Type1,963.353
FDR13,8.637,reg,0.041076,Household,246.597,OUT035,2004,Small,Tier 2,Supermarket Type1,922.8135
NCC02,15.318,LF,0.041187016,Snack Foods,171.0024,OUT010,1998,,Tier 3,Grocery Store,207.9231
FDG57,11.037,low fat,0.308469693,Starchy Foods,215.2169,OUT046,1997,Small,Tier 1,Supermarket Type1,3126.7488
FDG16,,regular,0,Canned,114.9212,OUT010,1998,,Tier 3,Grocery Store,148.4826
DRC11,19.275,Regular,0.233743096,Health and Hygiene,168.6069,OUT017,2007,,Tier 2,Supermarket Type1,1567.4245
DRF51,,regular,0,Hard Drinks,55.0984,OUT018,2009,Medium,Tier 3,Supermarket Type2,479.8657
NCL38,13.608,Low Fat,0,Meat,114.0136,OUT018,2009,Medium,Tier 3,Supermarket Type2,2451.8122
FDA21,18.656,Low Fat,0.249381981,Starchy Foods,250.0797,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.9617
NCI09,,Low Fat,0.122347717,Others,146.1865,OUT013,1987,High,Tier 3,Supermarket Type1,2884.0604
DRI40,8.969,reg,0.27134557,Hard Drinks,62.8957,OUT049,1999,Medium,Tier 1,Supermarket Type1,270.7488
